127.0.0.1 - - [30/Nov/2017:15:32:42 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:32:47 +0800] "GET /cioclass/ HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:20 +0800] "GET /cioclass/mysqltest HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:21 +0800] "GET /cioclass/js/require.js HTTP/1.1" 200 86482
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:21 +0800] "GET /cioclass/js/mysqlConnect.js HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:21 +0800] "GET /cioclass/mysql.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:30 +0800] "GET /cioclass/ HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:30 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:36 +0800] "GET /cioclass/xx/attributeAdd HTTP/1.1" 200 5249
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:37 +0800] "GET /cioclass/css/or.css HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:37 +0800] "GET /cioclass/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:37 +0800] "GET /cioclass/js/common.js HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:37 +0800] "GET /cioclass/images/pz.png HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:37 +0800] "GET /cioclass/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:37 +0800] "GET /cioclass/js/handlebars.js HTTP/1.1" 200 171652
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:37 +0800] "GET /cioclass/images/bk.jpg HTTP/1.1" 200 190983
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:43 +0800] "GET /cioclass/xx/resPage HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:43 +0800] "GET /cioclass/css/page.css HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:43 +0800] "GET /cioclass/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:43 +0800] "GET /cioclass/js/jquery.page.js HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:43 +0800] "GET /cioclass/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:12:43 +0800] "GET /cioclass/js/common.js HTTP/1.1" 200 5624
